Nâng cấp bắt đầu: 12:01:16_26-10-2025
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/images/toolbarButton-pageUp.svg | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/images/toolbarButton-presentationMode.svg | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/images/toolbarButton-print.svg | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/images/toolbarButton-search.svg | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/images/toolbarButton-secondaryToolbarToggle.svg | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/images/toolbarButton-sidebarToggle.svg | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/images/toolbarButton-viewAttachments.svg | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/images/toolbarButton-viewLayers.svg | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/images/toolbarButton-viewOutline.svg | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/images/toolbarButton-viewThumbnail.svg | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/images/toolbarButton-zoomIn.svg | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/images/toolbarButton-zoomOut.svg | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/locale/en-GB/viewer.properties | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/locale/en-US/viewer.properties | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/locale/fr/viewer.properties | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/locale/locale.properties | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/locale/vi/viewer.properties | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/pdf.js | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/pdf.sandbox.js | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/pdf.worker.js | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/standard_fonts/FoxitDingbats.pfb | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/standard_fonts/FoxitFixed.pfb | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/standard_fonts/FoxitFixedBold.pfb | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/standard_fonts/FoxitFixedBoldItalic.pfb | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/standard_fonts/FoxitFixedItalic.pfb | SUCCESS
